,history_generator_loss,history_discriminator_loss
208,"tf.Tensor(1.3180555, shape=(), dtype=float32)","tf.Tensor(1.1286457, shape=(), dtype=float32)"
209,"tf.Tensor(1.3394277, shape=(), dtype=float32)","tf.Tensor(0.8977692, shape=(), dtype=float32)"
210,"tf.Tensor(1.349763, shape=(), dtype=float32)","tf.Tensor(1.0281523, shape=(), dtype=float32)"
211,"tf.Tensor(1.0722969, shape=(), dtype=float32)","tf.Tensor(1.266021, shape=(), dtype=float32)"
212,"tf.Tensor(1.059592, shape=(), dtype=float32)","tf.Tensor(1.6841543, shape=(), dtype=float32)"
213,"tf.Tensor(1.0644629, shape=(), dtype=float32)","tf.Tensor(1.471353, shape=(), dtype=float32)"
214,"tf.Tensor(0.9470582, shape=(), dtype=float32)","tf.Tensor(1.6505163, shape=(), dtype=float32)"
215,"tf.Tensor(1.0087912, shape=(), dtype=float32)","tf.Tensor(1.7343106, shape=(), dtype=float32)"
216,"tf.Tensor(1.067171, shape=(), dtype=float32)","tf.Tensor(2.1016111, shape=(), dtype=float32)"
217,"tf.Tensor(0.9062482, shape=(), dtype=float32)","tf.Tensor(2.3465662, shape=(), dtype=float32)"
218,"tf.Tensor(0.6851121, shape=(), dtype=float32)","tf.Tensor(2.6964393, shape=(), dtype=float32)"
219,"tf.Tensor(0.70205545, shape=(), dtype=float32)","tf.Tensor(2.7916415, shape=(), dtype=float32)"
220,"tf.Tensor(0.58230317, shape=(), dtype=float32)","tf.Tensor(2.4646978, shape=(), dtype=float32)"
221,"tf.Tensor(0.65329194, shape=(), dtype=float32)","tf.Tensor(2.6579769, shape=(), dtype=float32)"
222,"tf.Tensor(0.9439657, shape=(), dtype=float32)","tf.Tensor(2.901989, shape=(), dtype=float32)"
223,"tf.Tensor(1.0428042, shape=(), dtype=float32)","tf.Tensor(2.805316, shape=(), dtype=float32)"
224,"tf.Tensor(0.86867166, shape=(), dtype=float32)","tf.Tensor(2.4373956, shape=(), dtype=float32)"
225,"tf.Tensor(0.74543816, shape=(), dtype=float32)","tf.Tensor(2.4804485, shape=(), dtype=float32)"
226,"tf.Tensor(0.6177045, shape=(), dtype=float32)","tf.Tensor(2.4644554, shape=(), dtype=float32)"
227,"tf.Tensor(0.53380406, shape=(), dtype=float32)","tf.Tensor(2.173415, shape=(), dtype=float32)"
228,"tf.Tensor(0.66407406, shape=(), dtype=float32)","tf.Tensor(2.0885575, shape=(), dtype=float32)"
229,"tf.Tensor(0.83537924, shape=(), dtype=float32)","tf.Tensor(1.7926993, shape=(), dtype=float32)"
230,"tf.Tensor(1.0620756, shape=(), dtype=float32)","tf.Tensor(1.3247476, shape=(), dtype=float32)"
231,"tf.Tensor(1.1864216, shape=(), dtype=float32)","tf.Tensor(1.653156, shape=(), dtype=float32)"
232,"tf.Tensor(1.1024193, shape=(), dtype=float32)","tf.Tensor(1.0782274, shape=(), dtype=float32)"
233,"tf.Tensor(1.2156557, shape=(), dtype=float32)","tf.Tensor(1.0813234, shape=(), dtype=float32)"
234,"tf.Tensor(1.1334172, shape=(), dtype=float32)","tf.Tensor(1.0196862, shape=(), dtype=float32)"
235,"tf.Tensor(1.1881258, shape=(), dtype=float32)","tf.Tensor(0.90584844, shape=(), dtype=float32)"
236,"tf.Tensor(1.1681194, shape=(), dtype=float32)","tf.Tensor(0.85467243, shape=(), dtype=float32)"
237,"tf.Tensor(1.380861, shape=(), dtype=float32)","tf.Tensor(0.733614, shape=(), dtype=float32)"
238,"tf.Tensor(1.549567, shape=(), dtype=float32)","tf.Tensor(0.63247526, shape=(), dtype=float32)"
239,"tf.Tensor(1.686169, shape=(), dtype=float32)","tf.Tensor(0.6454231, shape=(), dtype=float32)"
